영화명,time,ID,text,score,like,dislike,watch_movie,혐오,성별,이념/지역,인간존엄성,기타 (선택),
82년생 김지영,2019-10-24 9:07,시엘(ciel****),좀 심하네요   원작 소설이 얼마나 문제가 많았는데,1,7,15,FALSE,0,0,0,0,,28
82년생 김지영,2019-12-03 15:54,박상인(tkdd****),볼 이유가 없음,1,0,1,FALSE,0,0,0,0,,8
82년생 김지영,2019-11-07 14:09,호빵맨(cup7****),82년생 김민규,1,2,5,FALSE,0,0,0,0,,8
82년생 김지영,2020-09-12 9:39,몽랑(ulti****),그냥 돈따라가는 것들뿐,1,4,4,FALSE,0,0,0,0,,12
82년생 김지영,2019-10-23 11:06,비가오는새벽(peac****),영화가 너무 감동적이에요,1,10,8,FALSE,0,0,0,0,,13
82년생 김지영,2019-10-24 16:45,맹구학개론(trip****),평점 낭낭하게 달라고 했는데 맘이 확 상해부렸으,1,6,14,FALSE,0,0,0,0,,26
82년생 김지영,2020-01-14 6:06,꾸어96(yesu****),엔딩 크레딧에 적혀있네요 사건과 에피소드는 모두 허구로 창작된것이며 창작극으로 보니 재밌었습니다,1,6,2,FALSE,0,0,0,0,,53
82년생 김지영,2019-10-23 23:59,유종현(wily****),진지하게 정말 재미없음 어떤 슬로건을 얘기하려는지 알겠는데 너무 강조해서 눈쌀 찌푸려짐,1,10,16,FALSE,0,0,0,0,,48
82년생 김지영,2019-10-23 19:41,덕아웃시즌권(show****),페미의 페미에 의한 페미를 위한 영화 따위,1,9,11,FALSE,1,1,0,0,,23
82년생 김지영,2019-10-25 22:35,everyheart(sess****),82kg 김지영들하고는 딱히 관계없는스토리,1,9,4,FALSE,1,1,0,0,,23
82년생 김지영,2019-10-24 10:30,안녕하세요(kdh0****),이딴 남녀갈등조장 프레임 영화,1,5,8,FALSE,0,0,0,0,,16
82년생 김지영,2019-10-23 15:19,지크(zicp****),볼거없어요     이 영화를 보고 현실적이라고 생각한다면 그것 자체가 피해망상임,1,6,11,FALSE,1,0,0,1,,44
82년생 김지영,2019-10-25 3:37,leoj****,이건 아니지싶다 뭘말하고싶은걸까,1,9,7,FALSE,0,0,0,0,,17
82년생 김지영,2019-11-02 21:05,we(jind****),책보단 난듯 싶어 1점준다,1,5,5,FALSE,0,0,0,0,,14
82년생 김지영,2019-10-24 7:44,라임(zxc8****),진짜 별로였음 돈아까워라,1,5,12,FALSE,0,0,0,0,,13
82년생 김지영,2019-10-26 17:03,하늘아래(pc90****),바란스 맞추기    아자아자,1,9,6,FALSE,0,0,0,0,,15
82년생 김지영,2019-10-23 14:27,병동인(dlgk****),정말 하급 영화이다  이상10자,1,5,6,FALSE,0,0,0,0,,17
82년생 김지영,2019-10-23 17:40,라깨(bum9****),또시작이네징그러운거,1,4,16,FALSE,1,0,0,1,,10
82년생 김지영,2019-11-18 0:05,크립(swee****),그다지,1,8,9,FALSE,0,0,0,0,,3
82년생 김지영,2019-10-27 1:56,제이(ksjs****),여태댓글만보다가 오늘보고남깁니다공감대형성부분이 많이 갈릴것같네요,1,512,365,TRUE,0,0,0,0,,35
82년생 김지영,2019-10-28 13:31,zaq123456vgh(pbh9****),사랑해요 엄마,1,8,5,FALSE,0,0,0,0,,7
82년생 김지영,2019-10-23 10:54,언더형님(book****),폐미코인은 돈이 된다   라는 절대진리를 보여주는 메갈영화,1,1,3,FALSE,1,1,0,0,,32
82년생 김지영,2019-10-24 11:17,서이현(smj9****),이 영화를 다 본 제가 10점을 받아야겠습니다,1,17,11,FALSE,0,0,0,0,,25
82년생 김지영,2019-11-02 5:01,김진연(wlsd****),별점 10짜리 댓글들 수준이   영화가 남여갈등 조장하려던 것이라면 대단한 성공을 이룬셈이지,1,15,3,FALSE,0,0,0,0,,51
82년생 김지영,2019-10-24 23:50,아이테르(qsqs****),영화 보고왔습니다  영화는 영화로만 보자는 생각하고 봤습니다 여자라고 차별하는거 분명 아직 꽤많이있습니다 아직도 근데 이 영화에는 임신 출산 육아 여성이 회사에서 차별받는것 남아선호사상 성추행 몰카 같은 내용만 얘기합니다  이게 남녀갈등조장하는 것이 아니면 뭐죠 여기나오는 김지영은 차별당할때마다 극단적인 말만 들었나보네요  요즘 누가 저렇게 말하고 다니나요 애낳고 후줄근하게 입고다닌다고 욕먹는장면이있는데  어느시대길래 육아하는 엄마들이 저렇게 입고 다닙니까  요즘은 애기엄마인지도 모르고 오히려 엄청 더 예쁘게 하고 다니지  70년도 드라마 며느리처럼 나오네요  또 정말 삐딱하면 남녀갈등조장하는 말이 나옵니다  감동 받을만 하면 여자가 어떠니 남자가 어떠니 하는 갈등조장 하는 대사를 계속 칩니다  그리고 극중에 남자들이 여자에 대해 하는 말은 남자인 저도 빡치는 대사들 뿐이었네요 여자들이 화장실 몰카걱정하면서 화장실에 가야하는거 정말 남자인저도 화납니다  하지만 저걸보고 모든남자가 저럴거라는 생각을 가진다면 문제가 있으신겁니다  그리고 극중에 나온 대사처럼 말하는 고모나 시어머니가 지금 시대에 어디있나요  진짜 여자친구가 이건 아닌거같다고 중간에 나가자고 했습니다  재미도 정말없구요  작가가 김지영씨 어딘가 있을거같다했는데82년생 김지영씨는 10년 전에 존재했다고하면 인정하겠습니다만  지금은 없어보이네요,1,11,9,FALSE,0,0,0,0,,682
82년생 김지영,2020-10-14 20:06,바나나(happ****),OO으니까 보지마셈,1,2,2,FALSE,0,0,0,0,,10
82년생 김지영,2019-10-23 13:47,eqweqwmlk(love****),뭘 보여주는거지 이느낌임,1,1,10,FALSE,0,0,0,0,,13
82년생 김지영,2019-10-23 16:46,fem(femi****),아   페미코인은 돈이 된다아입니꺼     하모 하모요  페미코인 만쉐이  페미코인을 잡는자 막대한 돈을 벌 것이다,1,4,10,FALSE,1,1,0,0,,64
82년생 김지영,2019-10-23 13:20,듀라블리지(whre****),완전 할머니들까지 안가더라도 50 60년대생들 우리 어머니들 얘기면 또 몰라  82년생 혹은 그 또래 여자들이 뭔 피해를 봤는데 도대체,1,6,8,FALSE,0,0,0,0,,75
82년생 김지영,2019-10-23 18:22,MARCA(ehd6****),지극히 편향적인 부분만 어거지로 버무려놓은 페미 영화,1,1,17,FALSE,1,1,0,0,,29
82년생 김지영,2019-10-27 9:27,우주(wjdd****),판타지 감성 충만정신좀 차리시길,1,6,2,FALSE,0,0,0,0,,17
82년생 김지영,2019-10-24 7:51,모이(rain****),분열조장영화,1,4,11,FALSE,0,0,0,0,,6
82년생 김지영,2019-10-30 23:49,KBS(acep****),별 하나도 아깝다 군대나 다녀오지 그래,1,10,17,FALSE,0,0,0,0,,21
82년생 김지영,2019-10-23 17:10,바이오테크(qw89****),0점주고싶은데 0점이없네,1,6,11,FALSE,0,0,0,0,,13
82년생 김지영,2019-10-23 15:54,박지수(twin****),남성의 피해를 알려주는 좋은영화,1,11,13,FALSE,0,0,0,0,,17
82년생 김지영,2019-10-31 14:52,이재성기(wotj****),그냥 쓰레기영화 끝,1,7,4,FALSE,0,0,0,0,,10
82년생 김지영,2019-10-25 3:01,Solamente(konn****),작품성이 있는지 모르겠네요   그저 감읍벽,1,5,9,FALSE,0,0,0,0,,23
82년생 김지영,2019-10-23 18:26,Presto(hspa****),존내 감동먹었습니다 보지도않았는데 이렇게 뜨거운 관심을 받는 영화    티켓값만원도 안들고 영화 한편 다봤네요  평점창이 곧 영화내용입니다  감상평 한마디 하자면 92년생 지영이 먹으러 가야겠네요,1,3,20,FALSE,1,1,0,0,,109
82년생 김지영,2019-12-27 22:57,머야이거(hjsh****),아 나도 이딴거 만들어서 돈이나 벌껄  한국 여자들 지갑에서 돈꺼내게 하는게 젤 쉬운건데,1,12,3,FALSE,1,1,0,0,,49
82년생 김지영,2019-10-23 11:35,그게아니라(kh2m****),캬아악    퉤,1,3,4,FALSE,0,0,0,0,,8
82년생 김지영,2019-11-04 7:45,ggan****,보고    싸웠다,1,5,6,FALSE,0,0,0,0,,9
82년생 김지영,2019-10-23 13:04,초록매실(such****),62년생 김지영이였으면 누구나 공감했을듯남여는 생물학적으로 차이가 있고 그 차이에 비롯해서 알맞은 역할을 나눠서 시대의 흐름에 따라 이어져 오는것인데그 세대 여자들은 그저 자기가 하는 불리한건 몽땅 불합리하다고 생각하나보다 회계업무와 마케팅업무가 나뉘어져 있는데 마케팅부서 직원들이왜 우리만 마케팅업무 하냐는 불만을 가지면 어떤 반응을 보이겠는가정신병이다 작중에서도 모든상황을 주인공 본인이   39 착각  39  해서 혼자 피해자가 되고 우울해질 뿐이다,1,2,5,FALSE,1,0,0,1,,254
82년생 김지영,2019-10-23 17:05,조완기(whdh****),그냥 여자들 자위용 영화입니다,1,10,12,FALSE,1,1,0,0,,16
82년생 김지영,2019-10-26 21:31,명왕 문재인(cake****),이건 1점이 아니다 11점을 주고싶은 내 마음이다,1,23,32,FALSE,0,0,0,0,,27
82년생 김지영,2019-10-24 15:41,dkle****,역대급 최악의 영화 절대 보지마세요,1,9,13,FALSE,0,0,0,0,,19
82년생 김지영,2019-11-09 5:23,센스민트(shsw****),어제 이거보고 오늘 신의한수봣는데 신의한수가 1000배는 재밋음다 액션 역대급,1,9,3,FALSE,0,0,0,0,,43
82년생 김지영,2019-12-03 17:03,anso****,94년생 강지영  일명 파주퀸,1,4,0,FALSE,0,0,0,0,,16
82년생 김지영,2019-12-08 21:49,가즈아(luck****),여자 참 힘들다  남자는 이기적이다  이렇게 보이면 비정상인가요  어떻게 이해하고 받아들이면 되나요  어머니 뿐만 아니라 아버지도 위대합니다,1,9,1,FALSE,0,0,0,0,,78
82년생 김지영,2019-10-24 7:51,디지랄(zzal****),생각이 없는 영화인거 같습니다,1,3,11,FALSE,0,0,0,0,,16
82년생 김지영,2019-10-26 12:12,결우(hyem****),쓰레기 집합체의 영화 그리고 피해망상,1,16,8,FALSE,1,0,0,1,,20
82년생 김지영,2019-11-02 20:32,김수성(kyo3****),페미  이딴게 영화라니,1,11,12,FALSE,1,1,0,0,,12
82년생 김지영,2019-10-26 23:16,hgLee(zttu****),노잼,1,6,4,FALSE,0,0,0,0,,2
82년생 김지영,2019-10-28 20:12,네이바(yagu****),같은 여자인데도 공감안되는 이런 개 억지스런 스토리가 재밌냐  세상에 구걸하길 원해  그냥 피해망상에 빠진 가상의 영화일뿐이야 이럴수록 우리들만 추해진다 그러니까 여권신장이 안 이뤄지지,1,23,28,FALSE,1,0,0,1,,103
82년생 김지영,2019-10-31 16:44,bkma****,보지않아도 알거같습니다,1,6,5,FALSE,0,0,0,0,,12
82년생 김지영,2019-10-26 0:25,Raysefo(dizz****),시대착오적인 시나리오의 오류,1,7,11,FALSE,0,0,0,0,,15
82년생 김지영,2019-10-26 21:54,가이냥(hyun****),남자이지만 감명깊게 봤습니다  없을법한 이야기를 그럴듯하게 꾸민게 상당히 몰입도를 낮추는데 한몫 하였습니다  그뿐만 아니라 남자의 노동  수고는 외면한채 극히 일부의 여성들이 겪을법한 일들을 한명의 주인공 인물이 다 겪는듯이 표현한게 상당히 맘에 걸렸습니다  이 페이크 소설에 과도하게 몰입하여 모든 여성들이 이러한 일을 겪는다고 믿지 않으시길 바랍니다,1,10,9,FALSE,0,0,0,0,,197
82년생 김지영,2019-10-23 13:09,부기미(ana2****),십의 자리수가 너무 크다,1,2,2,FALSE,0,0,0,0,,13
82년생 김지영,2019-10-25 0:45,박영란(lany****),평소에 집밖에 나가지않는 돼지년들을 집밖으로 나오게만든 굉장한 영화입니다  교통비 영화비 모두 본인 아빠돈,1,15,16,FALSE,1,1,0,0,,59
82년생 김지영,2019-10-23 14:41,yous****,혐오 조장영화,1,3,11,FALSE,0,0,0,0,,7
82년생 김지영,2019-10-24 12:03,bsli****,남자들에게 결혼하지 말라고 선동하는 영화  밖에서 아무리 고생하고 노력해봐야 공감 못하면 열등 종자 낙인을 받는다  62  72도 아니고 82년생  소름이 끼친다,1,13,5,FALSE,1,0,0,1,,90
82년생 김지영,2019-12-05 9:38,Le penser(brea****),이딴쓰레기영화가 네티즌이나 평론가평점이나 90점대가 나올수있다는게 신기할 따름이다  여자들 머리에 든게 얼마나 없으면 이런거에도 선동당하는지  평론가는 돈받은건가,1,7,0,FALSE,1,1,0,0,,90
82년생 김지영,2019-10-24 14:30,jjo6****,그냥 돈 아끼시고 맛있는거 사드시는게 나아요 망한 영화에요,1,18,10,FALSE,0,0,0,0,,32
82년생 김지영,2019-11-03 19:51,나랑놀자(char****),영화보는 내내 우울함   결혼하면 이렇게 우울한건가  라는 생각이 듦,1,11,8,FALSE,0,0,0,0,,38
82년생 김지영,2019-10-25 22:46,삵(dlwl****),기껏만든영화가 전부치다가 힘들단다    훈련소 취사병나와서 2년내내 새벽4시반에일어나서 28명이서 7200인분 밥만들었는데   어휴 저렇게살바예 걍 디지지 왜삼,1,2,7,FALSE,1,0,0,1,,89
82년생 김지영,2019-10-26 18:32,복숭아(bhs2****),이거암   네이버에 82키로김지영 영화 검색하면 추천영화에 메가로돈 돼지같은여자 뜸,1,8,11,FALSE,1,1,0,0,,46
82년생 김지영,2019-11-02 8:25,2crii(ldh2****),안봐도뻔함 남자로서살기가 힘들지 모든 호화다누리는 여자들이 뭔 에혀  50년대 60년대도아니고 장난하니들,1,12,12,FALSE,0,0,0,0,,58
82년생 김지영,2019-10-23 23:05,hikk****,평범한가족이야기,1,4,11,FALSE,0,0,0,0,,8
82년생 김지영,2019-10-23 12:46,빛흥민no7(weej****),82kg 김지영 페미민국의 실화냐 남자가 저런영화로 나와봐라 뭐 감성팔이하냐 그러겟지,1,6,2,FALSE,1,1,0,0,,47
82년생 김지영,2019-10-26 18:21,kubl****,OOO기 영화 페미나치 아웃,1,8,11,FALSE,1,1,0,0,,15
82년생 김지영,2019-10-29 17:26,최원혁(will****),쓰레기같은 영화    판타지속에서나 일어날 법한 일을 모든 여성한테 일어날 것이다  라는 정당화의 오류를 범하는 영화,1,10,6,FALSE,0,0,0,0,,65
82년생 김지영,2019-10-23 13:47,wooki(lomi****),이건 뭔 영화야,1,2,10,FALSE,0,0,0,0,,8
82년생 김지영,2019-10-23 10:45,Ryu(day7****),노잼,1,6,3,FALSE,0,0,0,0,,2
82년생 김지영,2019-10-31 11:12,콘칩(muze****),과대망상증 넘치는 원작 페미소설과 달리 생각보다 영화가 너무 순딩순딩하게 만들어서 페미들이 보고 욕하는 영화   아님 제목바꿔서 원작처럼 만들던가 72년생 김지영이면 내가 인정 한다,1,5,4,FALSE,1,1,0,1,,101
82년생 김지영,2019-11-06 2:12,양지웅(kiri****),그냥 희대의 페미들 날뛰게 해주는 영화,1,12,4,FALSE,1,1,0,0,,21
82년생 김지영,2019-11-26 13:53,임동현개찐따(mins****),이런 영화좀 만들지마라,1,15,12,FALSE,0,0,0,0,,12
82년생 김지영,2019-10-23 11:57,세알(shb0****),뭐냐이쓰레기는,1,3,5,FALSE,0,0,0,0,,7
82년생 김지영,2019-11-10 18:08,정진석(wlst****),띠요옹오옹오잉에잉스,1,4,4,FALSE,0,0,0,0,,10
82년생 김지영,2019-11-13 12:47,RayPo(kdya****),댓글에 역시나 한남이니 뭐니 짖어대는 페미색히들있네요     니가 여자라서 불행한게 아니라 니가 공부 못하고 무능해서 그모양 그꼴로 사는겁니다   꼭 뭣도 없는 것들이 생면부지 남자자체를 개0돼지로 만들더라    영화자체는 좋네요,1,11,6,FALSE,1,1,0,1,,128
82년생 김지영,2019-10-23 12:56,grizi(vlzm****),0점은 없나요,1,6,2,FALSE,0,0,0,0,,7
82년생 김지영,2019-11-03 3:50,main****,12837462123,1,2,8,FALSE,0,0,0,0,,11
82년생 김지영,2019-10-23 12:41,lIkE(blbl****),뭐든 적당히 해야,1,10,5,FALSE,0,0,0,0,,9
82년생 김지영,2019-10-31 10:07,쿠코우(dust****),베이비부머 세대   애휴    배때지가 불렀구만,1,24,17,FALSE,1,0,0,1,,26
82년생 김지영,2019-10-26 22:58,메모장 켜라(jleg****),배급사가 롯데네    이번 시즌 롯데 자이언츠가 꼴등해서 불매운동한다,1,1,7,FALSE,0,0,0,0, ,38
82년생 김지영,2019-10-23 19:18,왕차(wang****),82kg 김지영,1,6,23,FALSE,1,1,0,0,,8
82년생 김지영,2019-10-26 0:40,A23175(aayy****),피해망상 환자들이 좋아하는,1,8,13,FALSE,1,0,0,1,,14
82년생 김지영,2019-10-25 16:18,마중토(kkw1****),줄 수 있는 별점이 1점밖에 없어서,1,10,7,FALSE,0,0,0,0,,19
82년생 김지영,2019-10-23 21:16,배둘레햄(maxr****),소설 그대로   이건 뭐    현실반영은 1도 없고 그저 나만 불행해  빼액 난 정상인데 세상이 날 이렇게 만들었어  빼액 아들로 태어나서 37세까지 통장 잔고 3천원 남아가며 부모님 부양해 봤냐 모든 선택은 본인이 해 놓고 세상탓만 오지네,1,11,12,FALSE,1,1,0,0,,134
82년생 김지영,2019-11-06 15:28,김진형(rlaw****),1점 딱 대    루 삥뽕빵봉,1,10,7,FALSE,0,0,0,0,,16
82년생 김지영,2019-10-24 2:33,Eminem(cono****),2탄은 김지영 군대가라,1,13,20,FALSE,0,0,0,0,,12
82년생 김지영,2019-10-24 7:53,얀(max_****),페미니즘 찬성 남성혐오 혐오,1,5,12,FALSE,1,1,0,0,,15
82년생 김지영,2019-10-26 14:22,마나라(whdd****),개 잣같은영화 이런 영화 왜 만드노,1,10,12,FALSE,0,0,0,0,,19
82년생 김지영,2019-10-26 12:21,메리(gks3****),돈이 아깝다    안본 뇌 삽니다,1,7,5,FALSE,0,0,0,0,,18
82년생 김지영,2019-10-23 10:22,월향청초(ilov****),공백을 제외하고 10자 등록,1,3,7,FALSE,0,0,0,0,,15
82년생 김지영,2019-10-24 11:16,슬로스타터(dldn****),영혼보내기  평점알바 작작들해라 시간 지나고 나면 흑역사로 취급받을 영화리스트에 이 영화도 추가해라,1,13,12,FALSE,0,0,0,0,,55
82년생 김지영,2019-12-08 2:28,태왕담덕(damd****),현시대의 흔한일상을 잘 표현하긴 했으나 사실과 다른 작가의 경험에 실망했습니다 빙의는요  죽은사람의 영이 들어가는거라  살아있는 엄마혼이 들어갈수가 없답니다  일반인들은 귀신의 존재감을 몰라서 그려려니하고 보거나 읽었겠지만  영전문가로선 말이안되는부분이라감동이 확 반감됩니다,1,4,0,FALSE,0,0,0,0,,153
82년생 김지영,2019-10-23 14:33,이은희(mink****),남녀갈등 조장하는 최악의 영화 82년생 김지영도 힘들었고 그 시대 남자도 힘들었고 52년생 42년생 남녀 다들힘들었음  다른 세대를 비난하면서 감정조장하지마세요,1,5,15,FALSE,0,0,0,0,,89
82년생 김지영,2019-10-23 16:34,쿨하게고고(cool****),전혀  동의할수 없는    현실과 동떨어진 내용,1,5,11,FALSE,0,0,0,0,,26
82년생 김지영,2019-10-27 11:36,알렉스(alex****),지루한 영화라고 할수 있다,1,12,13,FALSE,0,0,0,0,,14
82년생 김지영,2019-10-24 1:11,부곡동(ehsw****),최악임 공감할수가없음,1,9,11,FALSE,0,0,0,0,,11
82년생 김지영,2021-05-13 20:01,방구석 롬멜(yunf****),감동도 없고 공감도 없고 재미도 없고억지성이 묻어난다,1,6,1,FALSE,0,0,0,0,,29
82년생 김지영,2019-10-25 1:59,빽곰(1023****),영화를 보고 감동받았습니다,1,3,15,FALSE,0,0,0,0,,14
82년생 김지영,2019-10-29 19:20,wpeo****,낮은 평점을 자체 필터링 한다는 갓 평점,1,3,5,FALSE,0,0,0,0,,22
82년생 김지영,2019-10-23 16:04,어헝(hyeo****),애들아 여기 모테솔로 페미들이 장악한 곳이다 그냥 즐기게 냅둬라   집구석에 박혀서 이런거라도 즐기게 냅두자,1,6,7,FALSE,1,1,0,0,,60
82년생 김지영,2020-06-23 20:49,달가든(hscb****),0점이 없어서 한이네요,1,16,5,FALSE,0,0,0,0,,12
82년생 김지영,2019-10-23 10:14,BluePark(blue****),전혀 공감이 가질 않는 내용입니다,1,4,10,FALSE,0,0,0,0,,18
82년생 김지영,2019-10-23 9:19,럽리힐스(love****),징징거리는영화,1,546,512,FALSE,0,0,0,0,,7
82년생 김지영,2019-10-29 10:27,luckysam(luck****),아이키우는 엄마들은 보지마세요와이프랑 같이 봤는데 많이 우울해하네요,1,7,7,FALSE,0,0,0,0,,37
82년생 김지영,2019-10-26 23:17,getsetandgo(k_vo****),60년대생 출신 이전 여성분들이 여성으로서 받은 안타까운 사회적 악폐를 다룬다면 모를까 지금 80년대 이후여성이 대체 뭐를 그렇게 차별을 받으셨을까  교육도 다똑같이받고  세금다 똑같이 내고  군대는 커녕 공익복무도 하지않고  오히려 여자라고 사회적으로 배려해주는 분위기인데     그냥 아닥하고 지금 분위기에 편승하며 편하게살아 괜히  긁어부스럽만들지말고,1,5,10,FALSE,1,0,0,1,,199
82년생 김지영,2019-11-13 1:15,김마쎄(neve****),이거 영화 재밋는게 옛날보단 나아진게 현실인데 돈벌대로 벌고 알아서 하면 돼는데 여자라서 안된다 이런게 문제인데 나 남잔데 이거 100프로 페미니스트 입니다      김지영 이란 여자는 대단한거 같아요     피해망상이 장난 아니네,1,11,7,FALSE,1,1,0,1,,129
82년생 김지영,2019-10-26 18:04,DREAM(wogu****),아니 왜 댓글조작하는거야 미친페미들아  니들이 하는짓 내가 별점테러하는거랑니들이 조작하는거랑 똑같은년들이야      뭐 베셀    마라 페미베셀이겠지     조작질 하지말자 개엽고 어차피 이거 흥행못함,1,4,12,FALSE,1,1,0,0,,112
82년생 김지영,2019-10-27 18:41,kbel****,그냥 포인트가 없네요 아무 강점이 없는영화,1,10,2,FALSE,0,0,0,0,,23
